study_id,coder,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_number,link_url,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes,corrected_link_url,link_url_for_cleaning,link_url_cleaned,review_coding,review_notes,Publication Title,DOI,Publication Year,Author,Title
a000032,steve,2020-07-06,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.6096/MISTRALS-HyMeX.1406,yes,NA,https://mistrals.sedoo.fr/HyMeX/?editDatsId=1406,yes,NA,HyMeX database,other,Account registration required,no,NA,Account required to access the HyMeX database,NA,https://doi.org/10.6096/MISTRALS-HyMeX.1406,doi.org/10.6096/MISTRALS-HyMeX.1406,FALSE,coded by me alone,Geoscience Data Journal,10.1002/gdj3.57,2018,"Bouvier, Christophe; Patris, Nicolas; Freydier, Rémi; Guilhe‐Batiot, Christelle; Seidel, Jean-Luc; Taupin, Jean-Denis; Brunet, Pascal; Remes, Aurore","The Floodscale experiment in the small catchment of Valescure, France: An overview of the isotopic and geochemical data base"
a000071,oliver,2020-04-09,yes,NA,yes,NA,yes,NA,1,1,osf.io/856cs/,yes,NA,https://osf.io/856cs/,yes,NA,OSF,yes,NA,yes,NA,NA,https://osf.io/856cs/,https://osf.io/856cs/,osf.io/856cs,FALSE,extra link coded by me,Law and Human Behavior,10.1037/lhb0000300,2018,"Rivera, Luis M.; Veysey, Bonita M.",Implicit self-criminal cognition and its relation to criminal behavior.
a000071,steve,2020-07-23,yes,NA,yes,NA,yes,NA,2,1,https://osf.io/856cs/,yes,NA,https://osf.io/856cs/,yes,NA,OSF,yes,NA,yes,NA,"Straightforward, no issues",https://osf.io/856cs/,https://osf.io/856cs/,osf.io/856cs,FALSE,extra link coded by me,Law and Human Behavior,10.1037/lhb0000300,2018,"Rivera, Luis M.; Veysey, Bonita M.",Implicit self-criminal cognition and its relation to criminal behavior.
a000071,steve,2020-07-23,yes,NA,yes,NA,yes,NA,2,2,http://re3data.org/,yes,NA,https://www.re3data.org/,yes,NA,re3data,no,NA,NA,NA,This is a registry of repositories; it doesn't make sense for the data to be hosted here directly,http://re3data.org/,http://re3data.org/,re3data.org,FALSE,extra link coded by me,Law and Human Behavior,10.1037/lhb0000300,2018,"Rivera, Luis M.; Veysey, Bonita M.",Implicit self-criminal cognition and its relation to criminal behavior.
a000116,steve,2020-07-06,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/gzytb/,yes,NA,https://osf.io/gzytb/,yes,NA,OSF,yes,NA,yes,NA,"Straightforward, no issues",NA,https://osf.io/gzytb/,osf.io/gzytb,FALSE,coded by me alone,Canadian Journal of Experimental Psychology,10.1037/cep0000153,2018,"Luwel, Koen; Peeters, Dominique; Dierckx, Goedele; Sekeris, Elke; Verschaffel, Lieven",Benchmark-based strategy use in atypical number lines
a000117,steve,2020-07-06,yes,NA,yes,NA,yes,NA,1,1,http://archaeologydataservice.ac.uk/archives/view/greylit/,yes,NA,https://archaeologydataservice.ac.uk/archives/view/greylit/,yes,NA,Archaeology Data Service,no,NA,NA,NA,This open data referred to seems to be a downloadable set of bibliographic data which doesn't seem accessible in 2020.,NA,http://archaeologydataservice.ac.uk/archives/view/greylit/,archaeologydataservice.ac.uk/archives/view/greylit,FALSE,coded by me alone,Internet Archaeology,10.11141/ia.40.6,2015,"Evans, Tim",A Reassessment of Archaeological Grey Literature: semantics and paradoxes
a000146,steve,2020-08-31,yes,NA,yes,NA,other,"original article has link to original repo, but there is another repo associated with the corrigendum for the article, which is only accessible from the non-registered version of the original OSF project",2,1,https://osf.io/8x6dw/,yes,NA,https://osf.io/8x6dw,yes,NA,OSF Registries,yes,NA,yes,NA,"Straightforward, no issues",https://osf.io/8x6dw/,https://osf.io/8x6dw/,osf.io/8x6dw,FALSE,recoded by me to confirm unusual link issue,Psychological Science,10.1177/0956797617710785,2017,"Kievit, Rogier A.; Lindenberger, Ulman; Goodyer, Ian M.; Jones, Peter B.; Fonagy, Peter; Bullmore, Edward T.; Network, the Neuroscience in Psychiatry; Dolan, Raymond J.",Mutualistic Coupling Between Vocabulary and Reasoning Supports Cognitive Development During Late Adolescence and Early Adulthood
a000146,oliver,2020-04-28,yes,NA,yes,NA,yes,NA,1,1,osf.io/j8wdv,yes,NA,https://osf.io/j8wdv,yes,NA,OSF,yes,NA,yes,NA,NA,https://osf.io/j8wdv,https://osf.io/j8wdv,osf.io/j8wdv,FALSE,recoded by me to confirm unusual link issue,Psychological Science,10.1177/0956797617710785,2017,"Kievit, Rogier A.; Lindenberger, Ulman; Goodyer, Ian M.; Jones, Peter B.; Fonagy, Peter; Bullmore, Edward T.; Network, the Neuroscience in Psychiatry; Dolan, Raymond J.",Mutualistic Coupling Between Vocabulary and Reasoning Supports Cognitive Development During Late Adolescence and Early Adulthood
a000146,steve,2020-08-31,yes,NA,yes,NA,other,"original article has link to original repo, but there is another repo associated with the corrigendum for the article, which is only accessible from the non-registered version of the original OSF project",2,2,https://osf.io/j8wdv,yes,NA,https://osf.io/j8wdv,yes,NA,OSF Registries,yes,NA,yes,NA,"This is not directly linked from the article, but very indirectly via the non-registered version of the linked OSF project",https://osf.io/j8wdv,https://osf.io/j8wdv,osf.io/j8wdv,FALSE,recoded by me to confirm unusual link issue,Psychological Science,10.1177/0956797617710785,2017,"Kievit, Rogier A.; Lindenberger, Ulman; Goodyer, Ian M.; Jones, Peter B.; Fonagy, Peter; Bullmore, Edward T.; Network, the Neuroscience in Psychiatry; Dolan, Raymond J.",Mutualistic Coupling Between Vocabulary and Reasoning Supports Cognitive Development During Late Adolescence and Early Adulthood
a000162,steve,2020-07-06,yes,NA,yes,NA,yes,NA,1,1,https://doi.pangaea.de/10.1594/PANGAEA.896587,yes,NA,https://doi.pangaea.de/10.1594/PANGAEA.896587,yes,NA,PANGAEA,yes,NA,yes,NA,"Straightforward, no issues",NA,https://doi.pangaea.de/10.1594/PANGAEA.896587,doi.pangaea.de/10.1594/PANGAEA.896587,FALSE,coded by me alone,Geoscience Data Journal,10.1002/gdj3.72,2019,"Piccioni, Gaia; Dettmering, Denise; Bosch, Wolfgang; Seitz, Florian",TICON: TIdal CONstants based on GESLA sea-level records from globally located tide gauges
