study_id,coder,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_number,link_url,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes,review_coding,review_note
a000026,aniruddah,2020-05-01,yes,NA,no,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"This article has cited several webpages from where it referenced data, but these weren't necessarily data repositories, so were not considered.",TRUE,"This article has inconsistent badge information, remove from data set"
a000026,michelle,2020-05-12,yes,NA,no,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No data availability statement or open data links,TRUE,"This article has inconsistent badge information, remove from data set"
a000026,sophia,2020-04-20,yes,NA,no,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"This article has inconsistent badge information, remove from data set"
a000233,michelle,2020-04-03,yes,NA,no,NA,no,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,No data availability statement or link to data
a000233,steve,2020-05-21,yes,NA,no,NA,no,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Could not find a link to shared data in paper or on website,FALSE,No data availability statement or link to data
a000371,oliver,2020-04-04,yes,NA,other,"Mentions ""replication materials"" on Dataverse (Harvard specific version) but they seem to have omitted references to a source such as a link",no,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,The article has badges in PDF and on web page - but is a theoretical paper so maybe data is technically available?
a000371,sophia,2020-04-07,yes,NA,yes,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,article says all data is available on the American Journal of Political Science on the Harvard Dataverse Network,FALSE,The article has badges in PDF and on web page - but is a theoretical paper so maybe data is technically available?
a000400,kongmanas,2020-04-08,yes,NA,yes,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"There was no link to the repository, only supplementary information at the end of the article",TRUE,There is a mention in the body of the text that raw data is available upon request - the availability statement says data is provided as supplementary material
a000400,sophia,2020-04-26,yes,NA,yes,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,There is a mention in the body of the text that raw data is available upon request - the availability statement says data is provided as supplementary material
a000494,steve,2020-07-08,yes,NA,yes,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No link to data found - the only ""data"" in this paper would be response rates to a survey with N = 30 respondents.",FALSE,"No link to data found - the only ""data"" in this paper would be response rates to a survey with N = 30 respondents."
a000525,matthew,2020-04-23,yes,NA,no,NA,no,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The mention of open data and no link provided,FALSE,No data availability statement or link to data
a000525,phuong,2020-04-17,yes,NA,no,NA,no,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,No data availability statement or link to data
a000540,sophia,2020-04-26,yes,NA,no,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,This is a stage 1 registered report - no data availability statement or link to data
a000540,steve,2020-07-24,yes,NA,no,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,This is Stage 1 of a registered report (stage 2 published in 2020) - data is not applicable for this article,FALSE,This is a stage 1 registered report - no data availability statement or link to data
a000582,kongmanas,2020-04-04,yes,NA,yes,NA,no,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,There is no link provided in the article,FALSE,The article has badges in PDF and on web page - but is a theoretical paper so maybe data is technically available?
a000582,oliver,2020-04-22,yes,NA,yes,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,The article has badges in PDF and on web page - but is a theoretical paper so maybe data is technically available?
a000597,evelyn,2020-05-22,no,NA,no,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Data badge and availability was not found,TRUE,"Link on article website, not in PDF"
a000597,matthew,2020-04-15,no,NA,no,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Page did not contain any relevance to open data,TRUE,"Link on article website, not in PDF"
a000597,sophia,2020-04-26,yes,NA,no,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Link on article website, not in PDF"
a000678,matthew,2020-04-26,yes,NA,no,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"There was a visible hyperlink in the document, however it was unclickable.",TRUE,"Standard JBPA link to ""Open data"" is there on the first page, but no URL attached. There is a link in a footnote later on."
a000678,sophia,2020-04-17,yes,NA,no,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Standard JBPA link to ""Open data"" is there on the first page, but no URL attached. There is a link in a footnote later on."
a000773,adrian,2020-04-14,yes,NA,no,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Article has data badge but no statement or any links given. The following disclaimer was found in the footnotes: ""Given the potentially identifying information inherent in personal narratives, the
transcripts cannot be made public, though interested scholars should contact Dan
McAdams (dmca@northwestern.edu) to discuss access",FALSE,"No data availability statement or link to data in PDF - footnote mentions contacting author to discuss data access, and that coding will be made available"
a000773,sophia,2020-04-27,yes,NA,no,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"No data availability statement or link to data in PDF - footnote mentions contacting author to discuss data access, and that coding will be made available"
a000792,steve,2020-07-09,yes,NA,yes,NA,other,"DOIs only, rather than URLs",6,1,10.5285/5f3c1a02-d5c4-4faa-9353-e8b68ce2ace2,yes,NA,https://catalogue.ceh.ac.uk/documents/5f3c1a02-d5c4-4faa-9353-e8b68ce2ace2,yes,NA,NERC Environmental Information Data Centre,yes,NA,other,Account required to access data; could download metadata and documentation,Account required to access data; could download metadata and documentation,TRUE,Should be yes - DOIs count as links
a000792,steve,2020-07-09,yes,NA,yes,NA,other,"DOIs only, rather than URLs",6,2,10.5285/e911196a-b371-47b1-968c-661eb600d83b,yes,NA,https://catalogue.ceh.ac.uk/documents/e911196a-b371-47b1-968c-661eb600d83b,yes,NA,NERC Environmental Information Data Centre,yes,NA,other,Account required to access data; could download metadata and documentation,Account required to access data; could download metadata and documentation,TRUE,Should be yes - DOIs count as links
