batch_id,batch_date,study_id,Publication Year,Author,Title,Publication Title,pdf_filename
batch0016,2020-04-03,a000039,2018,"Bonica, Adam",Inferring Roll-Call Scores from Campaign Contributions Using Supervised Machine Learning,American Journal of Political Science,batch0016/a000039/a000039_article.pdf
batch0016,2020-04-03,a000051,2019,"Fernandes, Joana G.; Franco, Nuno H.; Grierson, Andrew J.; Hultgren, Jan; Furley, Andrew J. W.; Olsson, I. Anna S.","Methodological standards, quality of reporting and regulatory compliance in animal research on amyotrophic lateral sclerosis: a systematic review",BMJ Open Science,batch0016/a000051/a000051_article.pdf
batch0016,2020-04-03,a000107,2019,"Ludwig, Rita M.; Srivastava, Sanjay; Berkman, Elliot T.",Predicting Exercise With a Personality Facet: Planfulness and Goal Achievement,Psychological Science,batch0016/a000107/a000107_article.pdf
batch0016,2020-04-03,a000168,2017,"Daly, Michael; Robinson, Eric; Sutin, Angelina R.",Does Knowing Hurt? Perceiving Oneself as Overweight Predicts Future Physical Health and Well-Being,Psychological Science,batch0016/a000168/a000168_article.pdf
batch0016,2020-04-03,a000189,2018,"Garcia, Darren J.; Skadberg, Rebecca M.; Schmidt, Megan; Bierma, Shane; Shorter, Rebecca L.; Waugh, Mark H.",It's not that Difficult: An Interrater Reliability Study of the DSM–5 Section III Alternative Model for Personality Disorders,Journal of Personality Assessment,batch0016/a000189/a000189_article.pdf
batch0016,2020-04-03,a000251,2019,"Dai, Junyi; Pachur, Thorsten; Pleskac, Timothy J.; Hertwig, Ralph",What the Future Holds and When: A Description–Experience Gap in Intertemporal Choice,Psychological Science,batch0016/a000251/a000251_article.pdf
batch0016,2020-04-03,a000358,2019,"Buchwald, Adam; Calhoun, Holly; Rimikis, Stacey; Lowe, Mara Steinberg; Wellner, Rebecca; Edwards, Dylan J.",Using tDCS to facilitate motor learning in speech production: The role of timing,Cortex,batch0016/a000358/a000358_article.pdf
batch0016,2020-04-03,a000365,2017,"Cruz, Cesi; Schneider, Christina J.",Foreign Aid and Undeserved Credit Claiming,American Journal of Political Science,batch0016/a000365/a000365_article.pdf
batch0016,2020-04-03,a000390,2017,"King, Gary; Lucas, Christopher; Nielsen, Richard A.",The Balance‐Sample Size Frontier in Matching Methods for Causal Inference,American Journal of Political Science,batch0016/a000390/a000390_article.pdf
batch0016,2020-04-03,a000407,2017,"Elchlepp, Heike; Best, Maisy; Lavric, Aureliu; Monsell, Stephen",Shifting Attention Between Visual Dimensions as a Source of Switch Costs,Psychological Science,batch0016/a000407/a000407_article.pdf
batch0016,2020-04-03,a000496,2019,"Yin, Shouhang; Sui, Jie; Chiu, Yu-Chin; Chen, Antao; Egner, Tobias",Automatic Prioritization of Self-Referential Stimuli in Working Memory,Psychological Science,batch0016/a000496/a000496_article.pdf
batch0016,2020-04-03,a000671,2018,"Geary, David C.; vanMarle, Kristy; Chu, Felicia W.; Rouder, Jeffrey; Hoard, Mary K.; Nugent, Lara",Early Conceptual Understanding of Cardinality Predicts Superior School-Entry Number-System Knowledge,Psychological Science,batch0016/a000671/a000671_article.pdf
batch0016,2020-04-03,a000674,2019,"Davydenko, Mariya; Peetz, Johanna",Does it matter if a week starts on Monday or Sunday? How calendar format can boost goal motivation,Journal of Experimental Social Psychology,batch0016/a000674/a000674_article.pdf
batch0016,2020-04-03,a000684,2019,"Bischof, Daniel; Wagner, Markus",Do Voters Polarize When Radical Parties Enter Parliament?,American Journal of Political Science,batch0016/a000684/a000684_article.pdf
batch0016,2020-04-03,a000685,2018,"Hjortskov, Morten; Andersen, Simon Calmar; Jakobsen, Morten",Encouraging Political Voices of Underrepresented Citizens through Coproduction: Evidence from a Randomized Field Trial,American Journal of Political Science,batch0016/a000685/a000685_article.pdf
batch0016,2020-04-03,a000736,2018,"Kosmidis, Spyros",International Constraints and Electoral Decisions: Does the Room to Maneuver Attenuate Economic Voting?,American Journal of Political Science,batch0016/a000736/a000736_article.pdf
batch0016,2020-04-03,a000749,2017,"Nakashima, Nathaniel A.; Halali, Eliran; Halevy, Nir",Third parties promote cooperative norms in repeated interactions,Journal of Experimental Social Psychology,batch0016/a000749/a000749_article.pdf
batch0016,2020-04-03,a000766,2019,"Obaidi, Milan; Bergh, Robin; Akrami, Nazar; Anjum, Gulnaz",Group-Based Relative Deprivation Explains Endorsement of Extremism Among Western-Born Muslims,Psychological Science,batch0016/a000766/a000766_article.pdf
