batch_id,batch_date,study_id,Author,Publication Year,Title,Publication Title,pdf_filename
batch0039,2020-04-19,a000004,"Stark, Emily; Baldwin, Austin S.; Hertel, Andrew W.; Rothman, Alexander J.",2017,The role of rational and experiential processing in influencing the framing effect,The Journal of Social Psychology,batch0039/a000004/a000004_article.pdf
batch0039,2020-04-19,a000007,Olderbak Sally G.; Malter Frederic; Wolf Pedro Sofio Abril; Jones Daniel N.; Figueredo Aurelio José,2017,Predicting Romantic Interest at Zero Acquaintance: Evidence of Sex Differences in Trait Perception but Not in Predictors of Interest,European Journal of Personality,batch0039/a000007/a000007_article.pdf
batch0039,2020-04-19,a000015,Robenalt Clarice; Goldberg Adele E.,2016,Nonnative Speakers Do Not Take Competing Alternative Expressions Into Account the Way Native Speakers Do,Language Learning,batch0039/a000015/a000015_article.pdf
batch0039,2020-04-19,a000038,"Neff, Kristin D.; Tóth‐Király, István; Colosimo, Ken",2018,"Self-compassion Is Best Measured as a Global Construct and Is Overlapping with but Distinct from Neuroticism: A Response to Pfattheicher, Geiger, Hartung, Weiss, and Schindler (2017)",European Journal of Personality,batch0039/a000038/a000038_article.pdf
batch0039,2020-04-19,a000063,"Fisher, Claire I.; Hahn, Amanda C.; DeBruine, Lisa M.; Jones, Benedict C.",2015,RETRACTED: Women’s Preference for Attractive Makeup Tracks Changes in Their Salivary Testosterone,Psychological Science,batch0039/a000063/a000063_article.pdf
batch0039,2020-04-19,a000147,"Hilgard, Joseph; Engelhardt, Christopher R.; Rouder, Jeffrey N.; Segert, Ines L.; Bartholow, Bruce D.",2019,"Null Effects of Game Violence, Game Difficulty, and 2D:4D Digit Ratio on Aggressive Behavior",Psychological Science,batch0039/a000147/a000147_article.pdf
batch0039,2020-04-19,a000160,"Meylan, Stephan C.; Frank, Michael C.; Roy, Brandon C.; Levy, Roger",2017,The Emergence of an Abstract Grammatical Category in Children’s Early Speech,Psychological Science,batch0039/a000160/a000160_article.pdf
batch0039,2020-04-19,a000205,"Ramscar, Michael; Sun, Ching Chu; Hendrix, Peter; Baayen, Harald",2017,"The Mismeasurement of Mind: Life-Span Changes in Paired-Associate-Learning Scores Reflect the “Cost” of Learning, Not Cognitive Decline",Psychological Science,batch0039/a000205/a000205_article.pdf
batch0039,2020-04-19,a000243,"Pleasant, Aleta; Barclay, Pat",2018,Why Hate the Good Guy? Antisocial Punishment of High Cooperators Is Greater When People Compete To Be Chosen,Psychological Science,batch0039/a000243/a000243_article.pdf
batch0039,2020-04-19,a000253,"White, Alex L; Palmer, John; Boynton, Geoffrey M",2018,Evidence of Serial Processing in Visual Word Recognition,Psychological Science,batch0039/a000253/a000253_article.pdf
batch0039,2020-04-19,a000457,"Chatard, Armand; Bocage-Barthélémy, Yvana; Selimbegović, Leila; Guimond, Serge",2017,The woman who wasn't there: Converging evidence that subliminal social comparison affects self-evaluation,Journal of Experimental Social Psychology,batch0039/a000457/a000457_article.pdf
batch0039,2020-04-19,a000492,"Rogoza, Radosław; Cieciuch, Jan; Strus, Włodzimierz; Baran, Tomasz",2019,Seeking a Common Framework for Research on Narcissism: An Attempt to Integrate the Different Faces of Narcissism Within the Circumplex of Personality Metatraits,European Journal of Personality,batch0039/a000492/a000492_article.pdf
