batch_id,batch_date,study_id,Author,Publication Year,Title,Publication Title,pdf_filename
batch0912,2020-11-04,a000104,"Chambers, John R.; Swan, Lawton K.; Heesacker, Martin",2015,Perceptions of U.S. Social Mobility Are Divided (and Distorted) Along Ideological Lines,Psychological Science,Refer to Zotero library for PDF/link
batch0912,2020-11-04,a000127,"Strohminger, Nina; Nichols, Shaun",2015,Neurodegeneration and Identity,Psychological Science,Refer to Zotero library for PDF/link
batch0912,2020-11-04,a000136,"Chan, Man-pui Sally; Jones, Christopher R.; Jamieson, Kathleen Hall; Albarracín, Dolores",2017,Debunking: A Meta-Analysis of the Psychological Efficacy of Messages Countering Misinformation,Psychological Science,Refer to Zotero library for PDF/link
batch0912,2020-11-04,a000280,"Leger, Kate A.; Charles, Susan T.; Almeida, David M.",2018,Let It Go: Lingering Negative Affect in Response to Daily Stressors Is Associated With Physical Health Years Later,Psychological Science,Refer to Zotero library for PDF/link
batch0912,2020-11-04,a000281,"Zerr, Christopher L.; Berg, Jeffrey J.; Nelson, Steven M.; Fishell, Andrew K.; Savalia, Neil K.; McDermott, Kathleen B.",2018,Learning Efficiency: Identifying Individual Differences in Learning Rate and Retention in Healthy Adults,Psychological Science,Refer to Zotero library for PDF/link
batch0912,2020-11-04,a000386,"Mrkva, Kellen; Westfall, Jacob; Van Boven, Leaf",2019,Attention Drives Emotion: Voluntary Visual Attention Increases Perceived Emotional Intensity,Psychological Science,Refer to Zotero library for PDF/link
batch0912,2020-11-04,a000390,"King, Gary; Lucas, Christopher; Nielsen, Richard A.",2017,The Balance‐Sample Size Frontier in Matching Methods for Causal Inference,American Journal of Political Science,Refer to Zotero library for PDF/link
batch0912,2020-11-04,a000417,"Hawes, Samuel W.; Byrd, Amy L.; Kelley, Shannon E.; Gonzalez, Raul; Edens, John F.; Pardini, Dustin A.",2018,Psychopathic features across development: Assessing longitudinal invariance among Caucasian and African American youths,Journal of Research in Personality,Refer to Zotero library for PDF/link
batch0912,2020-11-04,a000511,"Sellier, Anne-Laure; Scopelliti, Irene; Morewedge, Carey K.",2019,Debiasing Training Improves Decision Making in the Field,Psychological Science,Refer to Zotero library for PDF/link
batch0912,2020-11-04,a000575,"Weintraub, Jared; Pattusamy, Murugan; Dust, Scott B.",2019,Mindful multitasking: Disentangling the effect of polychronicity on work–home conflict and life satisfaction,The Journal of Social Psychology,Refer to Zotero library for PDF/link
