batch_id,batch_date,study_id,Author,Publication Year,Title,Publication Title,pdf_filename
batch0050,2020-04-23,a000134,"Loschelder, David D.; Friese, Malte; Schaerer, Michael; Galinsky, Adam D.",2016,The Too-Much-Precision Effect: When and Why Precise Anchors Backfire With Experts,Psychological Science,batch0050/a000134/a000134_article.pdf
batch0050,2020-04-23,a000156,"Quintus, Martin; Egloff, Boris; Wrzus, Cornelia",2017,Predictors of volitional personality change in younger and older adults: Response surface analyses signify the complementary perspectives of the self and knowledgeable others,Journal of Research in Personality,batch0050/a000156/a000156_article.pdf
batch0050,2020-04-23,a000202,"Evans, Anthony M.; van Beest, Ilja",2017,Gain-loss framing effects in dilemmas of trust and reciprocity,Journal of Experimental Social Psychology,batch0050/a000202/a000202_article.pdf
batch0050,2020-04-23,a000203,"Cogsdill, Emily J.; Todorov, Alexander T.; Spelke, Elizabeth S.; Banaji, Mahzarin R.",2014,Inferring Character From Faces: A Developmental Study,Psychological Science,batch0050/a000203/a000203_article.pdf
batch0050,2020-04-23,a000299,"Kraus, Michael W.; Brown, Xanni; Swoboda, Hannah",2019,Dog whistle mascots: Native American mascots as normative expressions of prejudice,Journal of Experimental Social Psychology,batch0050/a000299/a000299_article.pdf
batch0050,2020-04-23,a000463,"Zhang, Ting; Kim, Tami; Brooks, Alison Wood; Gino, Francesca; Norton, Michael I.",2014,A “Present” for the Future: The Unexpected Value of Rediscovery,Psychological Science,batch0050/a000463/a000463_article.pdf
batch0050,2020-04-23,a000496,"Yin, Shouhang; Sui, Jie; Chiu, Yu-Chin; Chen, Antao; Egner, Tobias",2019,Automatic Prioritization of Self-Referential Stimuli in Working Memory,Psychological Science,batch0050/a000496/a000496_article.pdf
batch0050,2020-04-23,a000544,"Ram, Hadar; Liberman, Nira",2019,The relative contribution of response bias and weighting-of-similarity bias to valence asymmetry in attitude generalization,Journal of Experimental Social Psychology,batch0050/a000544/a000544_article.pdf
batch0050,2020-04-23,a000588,"Voorberg, William; Jilke, Sebastian; Tummers, Lars; Bekkers, Victor",2018,Financial Rewards Do Not Stimulate Coproduction: Evidence from Two Experiments,Public Administration Review,batch0050/a000588/a000588_article.pdf
batch0050,2020-04-23,a000655,"Przeździk, Izabela; Faber, Myrthe; Fernández, Guillén; Beckmann, Christian F.; Haak, Koen V.",2019,The functional organisation of the hippocampus along its long axis is gradual and predicts recollection,Cortex,batch0050/a000655/a000655_article.pdf
batch0050,2020-04-23,a000670,"Madan, Shilpa; Basu, Shankha; Rattan, Aneeta; Savani, Krishna",2019,Support for Resettling Refugees: The Role of Fixed Versus Growth Mind-Sets,Psychological Science,batch0050/a000670/a000670_article.pdf
batch0050,2020-04-23,a000685,"Hjortskov, Morten; Andersen, Simon Calmar; Jakobsen, Morten",2018,Encouraging Political Voices of Underrepresented Citizens through Coproduction: Evidence from a Randomized Field Trial,American Journal of Political Science,batch0050/a000685/a000685_article.pdf
batch0050,2020-04-23,a000692,"Soylu Yalcinkaya, Nur; Branscombe, Nyla R.; Gebauer, Fabian; Niedlich, Claudia; Hakim, Nader H.",2018,Can they ever be one of us? Perceived cultural malleability of refugees and policy support in host nations,Journal of Experimental Social Psychology,batch0050/a000692/a000692_article.pdf
batch0050,2020-04-23,a000702,"Fonseca, Mariana Lopes da",2017,Identifying the Source of Incumbency Advantage through a Constitutional Reform,American Journal of Political Science,batch0050/a000702/a000702_article.pdf
batch0050,2020-04-23,a000734,"Lynott, Dermot; Corker, Katherine S.; Wortman, Jessica; Connell, Louise; Donnellan, M. Brent; Lucas, Richard E.; O’Brien, Kerry",2014,Replication of “Experiencing Physical Warmth Promotes Interpersonal Warmth” by Williams and Bargh (2008),Social Psychology,batch0050/a000734/a000734_article.pdf
batch0050,2020-04-23,a000818,"Stricker, Johannes; Buecker, Susanne; Schneider, Michael; Preckel, Franzis",2019,Multidimensional Perfectionism and the Big Five Personality Traits: A Meta-analysis,European Journal of Personality,batch0050/a000818/a000818_article.pdf
batch0050,2020-04-23,a000834,"Young, April D.; Monroe, Andrew E.",2019,Autonomous morals: Inferences of mind predict acceptance of AI behavior in sacrificial moral dilemmas,Journal of Experimental Social Psychology,batch0050/a000834/a000834_article.pdf
batch0050,2020-04-23,a000848,"Orvell, Ariana; Kross, Ethan; Gelman, Susan A.",2019,“You” and “I” in a foreign land: The persuasive force of generic-you,Journal of Experimental Social Psychology,batch0050/a000848/a000848_article.pdf
batch0050,2020-04-23,a000851,"Avery, Nick; Marsden, Emma",2019,A META-ANALYSIS OF SENSITIVITY TO GRAMMATICAL INFORMATION DURING SELF-PACED READING: TOWARDS A FRAMEWORK OF REFERENCE FOR READING TIME EFFECT SIZES,Studies in Second Language Acquisition,batch0050/a000851/a000851_article.pdf
batch0050,2020-04-23,a000865,"Bell, Angela C.; Burkley, Melissa; Bock, Jarrod",2019,Examining the asymmetry in judgments of racism in self and others,The Journal of Social Psychology,batch0050/a000865/a000865_article.pdf
batch0050,2020-04-23,a000991,"Imhoff, Roland; Koch, Alex; Flade, Felicitas",2018,(Pre)occupations: A data-driven model of jobs and its consequences for categorization and evaluation,Journal of Experimental Social Psychology,batch0050/a000991/a000991_article.pdf
batch0050,2020-04-23,a001005,"Martín-Arévalo, E.; Lupiáñez, J.; Narganes-Pineda, C.; Marino, G.; Colás, I.; Chica, Ana B.",2019,The causal role of the left parietal lobe in facilitation and inhibition of return,Cortex,batch0050/a001005/a001005_article.pdf
