batch_id,batch_date,study_id,Author,Publication Year,Title,Publication Title,pdf_filename
batch0075,2020-05-22,a000793,"Jünger, Julia; Kordsmeyer, Tobias L.; Gerlach, Tanja M.; Penke, Lars",2018,"Fertile women evaluate male bodies as more attractive, regardless of masculinity",Evolution and Human Behavior,batch0075/a000793/a000793_article.pdf
batch0075,2020-05-22,a000822,"Jones, Bradford; Victor, Kristina Flores; Vannette, David",2019,Alien Citizens and the Canonical Immigrant: Do Stigmatized Attributes Affect Latina/o Judgment about Discrimination?,American Journal of Political Science,batch0075/a000822/a000822_article.pdf
batch0075,2020-05-22,a000863,"Molouki, Sarah; Hardisty, David J.; Caruso, Eugene M.",2019,The Sign Effect in Past and Future Discounting,Psychological Science,batch0075/a000863/a000863_article.pdf
batch0075,2020-05-22,a000934,"Houben, Sanne T. L.; Otgaar, Henry; Roelofs, Jeffrey; Merckelbach, Harald",2018,Lateral Eye Movements Increase False Memory Rates,Clinical Psychological Science,batch0075/a000934/a000934_article.pdf
batch0075,2020-05-22,a000936,"Maglio, Sam J.; Polman, Evan",2014,Spatial Orientation Shrinks and Expands Psychological                     Distance,Psychological Science,batch0075/a000936/a000936_article.pdf
batch0075,2020-05-22,a000971,"Heyman, Tom; Heyman, Geert",2019,Can prediction-based distributional semantic models predict typicality?,Quarterly Journal of Experimental Psychology,batch0075/a000971/a000971_article.pdf
batch0075,2020-05-22,a000977,"Osgood, Jeffrey M.",2019,"Ego-depletion increases selfish decision making, but may also increase self-conflict and regret about those decisions",The Journal of Social Psychology,batch0075/a000977/a000977_article.pdf
batch0075,2020-05-22,a000986,"Wilson, John Paul; Young, Steven G.; Rule, Nicholas O.; Hugenberg, Kurt",2018,Configural processing and social judgments: Face inversion particularly disrupts inferences of human-relevant traits,Journal of Experimental Social Psychology,batch0075/a000986/a000986_article.pdf
batch0075,2020-05-22,a001020,"Donnelly, Grant E.; Zatz, Laura Y.; Svirsky, Dan; John, Leslie K.",2018,The Effect of Graphic Warnings on Sugary-Drink Purchasing,Psychological Science,batch0075/a001020/a001020_article.pdf
batch0075,2020-05-22,a001132,"Bolton, David A. E.; Cole, David M.; Butler, Blake; Mansour, Mahmoud; Rydalch, Garrett; McDannald, Douglas W.; Schwartz, Sarah E.",2019,Motor preparation for compensatory reach-to-grasp responses when viewing a wall-mounted safety handle,Cortex,batch0075/a001132/a001132_article.pdf
batch0075,2020-05-22,a001240,"Laurin, Kristin",2018,Inaugurating Rationalization: Three Field Studies Find Increased Rationalization When Anticipated Realities Become Current,Psychological Science,batch0075/a001240/a001240_article.pdf
batch0075,2020-05-22,a001358,"Cleary, Anne M.; Claxton, Alexander B.",2018,Déjà Vu: An Illusion of Prediction,Psychological Science,batch0075/a001358/a001358_article.pdf
batch0075,2020-05-22,a001388,"McMahon, Tierney P.; Naragon-Gainey, Kristin",2019,The Multilevel Structure of Daily Emotion-Regulation-Strategy Use: An Examination of Within- and Between-Person Associations in Naturalistic Settings,Clinical Psychological Science,batch0075/a001388/a001388_article.pdf
batch0075,2020-05-22,a001477,"Kafetsios, Konstantinos; Hess, Ursula; Nezlek, John B.",2018,"Self-construal, affective valence of the encounter, and quality of social interactions: Within and cross-culture examination",The Journal of Social Psychology,batch0075/a001477/a001477_article.pdf
batch0075,2020-05-22,a001481,"Riddell, Hugh; Lappe, Markus",2018,Heading Through a Crowd,Psychological Science,batch0075/a001481/a001481_article.pdf
batch0075,2020-05-22,a001567,"Hassemer, Julius; Winter, Bodo",2018,Decoding Gestural Iconicity,Cognitive Science,batch0075/a001567/a001567_article.pdf
batch0075,2020-05-22,a001590,"Glynn, Adam N.; Kashin, Konstantin",2017,Front‐Door Difference‐in‐Differences Estimators,American Journal of Political Science,batch0075/a001590/a001590_article.pdf
