batch_id,batch_date,study_id,Author,Publication Year,Title,Publication Title,pdf_filename
batch0063,2020-04-28,a000073,"Bahník, Štěpán; Vranka, Marek A.",2017,"If It’s Difficult to Pronounce, It Might Not Be Risky: The Effect of Fluency on Judgment of Risk Does Not Generalize to New Stimuli",Psychological Science,batch0063/a000073/a000073_article.pdf
batch0063,2020-04-28,a000082,"IJzerman, Hans; Neyroud, Lison; Courset, Rémi; Schrama, Michel; Post, Jorick; Pronk, Tila M.",2018,Socially thermoregulated thinking: How past experiences matter in thinking about our loved ones,Journal of Experimental Social Psychology,batch0063/a000082/a000082_article.pdf
batch0063,2020-04-28,a000103,"Lupu, Noam; Peisakhin, Leonid",2017,The Legacy of Political Violence across Generations,American Journal of Political Science,batch0063/a000103/a000103_article.pdf
batch0063,2020-04-28,a000104,"Chambers, John R.; Swan, Lawton K.; Heesacker, Martin",2015,Perceptions of U.S. Social Mobility Are Divided (and Distorted) Along Ideological Lines,Psychological Science,batch0063/a000104/a000104_article.pdf
batch0063,2020-04-28,a000154,"Miranda, Robert; Wemm, Stephanie E.; Treloar Padovano, Hayley; Carpenter, Ryan W.; Emery, Noah N.; Gray, Joshua C.; Mereish, Ethan H.",2019,Weaker Memory Performance Exacerbates Stress-Induced Cannabis Craving in Youths’ Daily Lives,Clinical Psychological Science,batch0063/a000154/a000154_article.pdf
batch0063,2020-04-28,a000164,"Olsson-Collentine, Anton; van Assen, Marcel A. L. M.; Hartgerink, Chris H. J.",2019,The Prevalence of Marginally Significant Results in Psychology Over Time,Psychological Science,batch0063/a000164/a000164_article.pdf
batch0063,2020-04-28,a000181,"Vandermeer, James; Hosey, Christine; Epley, Nicholas; Keysar, Boaz",2019,Escalation of negative social exchange: Reflexive punishment or deliberative deterrence?,Journal of Experimental Social Psychology,batch0063/a000181/a000181_article.pdf
batch0063,2020-04-28,a000196,"Denissen, Jaap J. A.; Bleidorn, Wiebke; Hennecke, Marie; Luhmann, Maike; Orth, Ulrich; Specht, Jule; Zimmermann, Julia",2018,Uncovering the Power of Personality to Shape Income,Psychological Science,batch0063/a000196/a000196_article.pdf
batch0063,2020-04-28,a000197,"Porter, Shanette C.; Rheinschmidt-Same, Michelle; Richeson, Jennifer A.",2016,Inferring Identity From Language: Linguistic Intergroup Bias Informs Social Categorization,Psychological Science,batch0063/a000197/a000197_article.pdf
batch0063,2020-04-28,a000238,"Clayton, Amanda; O'Brien, Diana Z.; Piscopo, Jennifer M.",2019,All Male Panels? Representation and Democratic Legitimacy,American Journal of Political Science,batch0063/a000238/a000238_article.pdf
batch0063,2020-04-28,a000334,"Bateman, David A.; Clinton, Joshua D.; Lapinski, John S.",2017,"A House Divided? Roll Calls, Polarization, and Policy Differences in the U.S. House, 1877–2011",American Journal of Political Science,batch0063/a000334/a000334_article.pdf
batch0063,2020-04-28,a000337,"Thachil, Tariq",2017,Do Rural Migrants Divide Ethnically in the City? Evidence from an Ethnographic Experiment in India,American Journal of Political Science,batch0063/a000337/a000337_article.pdf
batch0063,2020-04-28,a000460,"Vos, Johanna F. de; Schriefers, Herbert; Nivard, Michel G.; Lemhöfer, Kristin",2018,A Meta-Analysis and Meta-Regression of Incidental Second Language Word Learning from Spoken Input,Language Learning,batch0063/a000460/a000460_article.pdf
batch0063,2020-04-28,a000470,"Wright, Aidan G. C.; Creswell, Kasey G.; Flory, Janine D.; Muldoon, Matthew F.; Manuck, Stephen B.",2019,Neurobiological Functioning and the Personality-Trait Hierarchy: Central Serotonergic Responsivity and the Stability Metatrait,Psychological Science,batch0063/a000470/a000470_article.pdf
batch0063,2020-04-28,a000518,"Plonsky, Luke; Ghanbar, Hessameddin",2018,Multiple Regression in L2 Research: A Methodological Synthesis and Guide to Interpreting R2 Values,The Modern Language Journal,batch0063/a000518/a000518_article.pdf
batch0063,2020-04-28,a000532,"Raad, Hussein; Robichon, Alain",2019,The pleiotropic effects of Innexin genes expressed in Drosophila glia encompass wing chemosensory sensilla,Journal of Neuroscience Research,batch0063/a000532/a000532_article.pdf
batch0063,2020-04-28,a000539,"Charlesworth, Tessa E. S.; Banaji, Mahzarin R.",2019,Patterns of Implicit and Explicit Attitudes: I. Long-Term Change and Stability From 2007 to 2016,Psychological Science,batch0063/a000539/a000539_article.pdf
