batch_id,batch_date,study_id,Publication Year,Author,Title,Publication Title,pdf_filename
batch0014,2020-04-03,a000009,2019,"Hanniball, Katherine B.; Aknin, Lara B.; Douglas, Kevin S.; Viljoen, Jodi L.",Does helping promote well-being in at-risk youth and ex-offender samples?,Journal of Experimental Social Psychology,batch0014/a000009/a000009_article.pdf
batch0014,2020-04-03,a000011,2019,"Nave, Gideon; Jung, Wi Hoon; Linnér, Richard Karlsson; Kable, Joseph W; Koellinger, Philipp D",Are Bigger Brains Smarter? Evidence From a Large-Scale Preregistered Study,Psychological Science,batch0014/a000011/a000011_article.pdf
batch0014,2020-04-03,a000046,2018,"Modjadidi, Karima; Kovera, Margaret Bull",Viewing videotaped identification procedure increases juror sensitivity to single-blind photo-array administration.,Law and Human Behavior,batch0014/a000046/a000046_article.pdf
batch0014,2020-04-03,a000081,2018,"Borghuis, Jeroen; Denissen, Jaap J.A.; Sijtsma, Klaas; Branje, Susan; Meeus, Wim H.J.; Bleidorn, Wiebke",Positive Daily Experiences Are Associated with Personality Trait Changes in Middle-aged Mothers,European Journal of Personality,batch0014/a000081/a000081_article.pdf
batch0014,2020-04-03,a000138,2019,"Feinstein, Brian A.; McConnell, Elizabeth; Dyar, Christina; Mustanski, Brian; Newcomb, Michael E.",The Influence of Stress on Depression and Substance Use Problems Among Young Male Same-Sex Couples: Relationship Functioning as an Underlying Mechanism,Clinical Psychological Science,batch0014/a000138/a000138_article.pdf
batch0014,2020-04-03,a000153,2019,"Feldman, Gilad; Chen, Jieying",Regret-action effect: Action-inaction asymmetries in inferences drawn from perceived regret,Journal of Experimental Social Psychology,batch0014/a000153/a000153_article.pdf
batch0014,2020-04-03,a000208,2019,"Storbeck, Franziska; Schlegelmilch, Karola; Streitberger, Kaspar-Josche; Sommer, Werner; Ploner, Christoph J.",Delayed recognition of emotional facial expressions in Bell's palsy,Cortex,batch0014/a000208/a000208_article.pdf
batch0014,2020-04-03,a000233,2017,"Zhang, Zhi-Xue; Wei, Xin",Superficial Harmony and Conflict Avoidance Resulting from Negative Anticipation in the Workplace,Management and Organization Review,batch0014/a000233/a000233_article.pdf
batch0014,2020-04-03,a000251,2019,"Dai, Junyi; Pachur, Thorsten; Pleskac, Timothy J.; Hertwig, Ralph",What the Future Holds and When: A Description–Experience Gap in Intertemporal Choice,Psychological Science,batch0014/a000251/a000251_article.pdf
batch0014,2020-04-03,a000288,2018,"Glickman, Moshe; Tsetsos, Konstantinos; Usher, Marius",Attentional Selection Mediates Framing and Risk-Bias Effects,Psychological Science,batch0014/a000288/a000288_article.pdf
batch0014,2020-04-03,a000311,2017,"Gerstenberg, Tobias; Peterson, Matthew F.; Goodman, Noah D.; Lagnado, David A.; Tenenbaum, Joshua B.",Eye-Tracking Causality,Psychological Science,batch0014/a000311/a000311_article.pdf
batch0014,2020-04-03,a000337,2017,"Thachil, Tariq",Do Rural Migrants Divide Ethnically in the City? Evidence from an Ethnographic Experiment in India,American Journal of Political Science,batch0014/a000337/a000337_article.pdf
batch0014,2020-04-03,a000378,2018,"Edlund, John E.; Heider, Jeremy D.; Nichols, Austin Lee; McCarthy, Randy J.; Wood, Sarah E.; Scherer, Cory R.; Hartnett, Jessica L.; Walker, Richard",Sex differences in jealousy: the (lack of) influence of researcher theoretical perspective,The Journal of Social Psychology,batch0014/a000378/a000378_article.pdf
batch0014,2020-04-03,a000440,2017,"Cypryańska, Marzena; Nezlek, John B.; Jaskółowska, Aleksandra; Formanowicz, Magdalena Maria",Reconsidering research on self-humanizing: The importance of mean comparative judgments,The Journal of Social Psychology,batch0014/a000440/a000440_article.pdf
batch0014,2020-04-03,a000510,2017,"Robey, Alison M.; Dougherty, Michael R.; Buttaccio, Daniel R.",Making Retrospective Confidence Judgments Improves Learners’ Ability to Decide What Not to Study,Psychological Science,batch0014/a000510/a000510_article.pdf
batch0014,2020-04-03,a000516,2017,"Leer, Leslie van der; Hartig, Bjoern; Goldmanis, Maris; McKay, Ryan",Why Do Delusion-Prone Individuals “Jump to Conclusions”? An Investigation Using a Nonserial Data-Gathering Paradigm,Clinical Psychological Science,batch0014/a000516/a000516_article.pdf
batch0014,2020-04-03,a000530,2018,"Yin, Jun; Xu, Haokui; Duan, Jipeng; Shen, Mowei",Object-Based Attention on Social Units: Visual Selection of Hands Performing a Social Interaction,Psychological Science,batch0014/a000530/a000530_article.pdf
batch0014,2020-04-03,a000559,2017,Mizumoto Atsushi; Hamatani Sawako; Imao Yasuhiro,Applying the Bundle–Move Connection Approach to the Development of an Online Writing Support Tool for Research Articles,Language Learning,batch0014/a000559/a000559_article.pdf
batch0014,2020-04-03,a000616,2018,"Hitchcock, Caitlin; Golden, Ann-Marie J.; Werner-Seidler, Aliza; Kuyken, Willem; Dalgleish, Tim",The Impact of Affective Context on Autobiographical Recollection in Depression,Clinical Psychological Science,batch0014/a000616/a000616_article.pdf
batch0014,2020-04-03,a000643,2014,"Johnson, David J.; Cheung, Felix; Donnellan, M. Brent",Hunting for artifacts: The perils of dismissing inconsistent replication results.,Social Psychology,batch0014/a000643/a000643_article.pdf
batch0014,2020-04-03,a000745,2018,"Corbett, Jennifer E.; Munneke, Jaap",“It’s Not a Tumor”: A Framework for Capitalizing on Individual Diversity to Boost Target Detection,Psychological Science,batch0014/a000745/a000745_article.pdf
batch0014,2020-04-03,a000801,2014,"Rozin, Paul; Scott, Sydney E.; Zickgraf, Hana F.; Ahn, Flora; Jiang, Hong",Asymmetrical Social Mach Bands: Exaggeration of Social Identities on the More Esteemed Side of Group                     Borders,Psychological Science,batch0014/a000801/a000801_article.pdf
batch0014,2020-04-03,a000840,2017,"Peters, Kim; Jetten, Jolanda; Radova, Dagmar; Austin, Kacie",Gossiping About Deviance: Evidence That Deviance Spurs the Gossip That Builds Bonds,Psychological Science,batch0014/a000840/a000840_article.pdf
batch0014,2020-04-03,a000961,2014,"Johnson, David J.; Cheung, Felix; Donnellan, M. Brent","Does Cleanliness Influence Moral Judgments?: A Direct Replication of Schnall, Benton, and Harvey (2008)",Social Psychology,batch0014/a000961/a000961_article.pdf
batch0014,2020-04-03,a000966,2018,"Weston, Sara J.; Jackson, Joshua J.",The role of vigilance in the relationship between neuroticism and health: A registered report,Journal of Research in Personality,batch0014/a000966/a000966_article.pdf
batch0014,2020-04-03,a001040,2019,"Burns, Devin M.; Fox, Elizabeth L.; Greenstein, Michael; Olbright, Gayla; Montgomery, DeMaris",An old task in new clothes: A preregistered direct replication attempt of enclothed cognition effects on Stroop performance,Journal of Experimental Social Psychology,batch0014/a001040/a001040_article.pdf
batch0014,2020-04-03,a001083,2019,"Forbes, Miriam K.; Krueger, Robert F.",The Great Recession and Mental Health in the United States,Clinical Psychological Science,batch0014/a001083/a001083_article.pdf
batch0014,2020-04-03,a001124,2019,"Werner, Kaitlyn M.; Milyavskaya, Marina; Klimo, Rebecca; Levine, Shelby L.","Examining the unique and combined effects of grit, trait self-control, and conscientiousness in predicting motivation for academic goals: A commonality analysis",Journal of Research in Personality,batch0014/a001124/a001124_article.pdf
batch0014,2020-04-03,a001134,2019,"Vasilev, Martin R; Parmentier, Fabrice BR; Angele, Bernhard; Kirkby, Julie A",Distraction by deviant sounds during reading: An eye-movement study,Quarterly Journal of Experimental Psychology,batch0014/a001134/a001134_article.pdf
batch0014,2020-04-03,a001148,2018,"Mazumder, Soumyajit",The Persistent Effect of U.S. Civil Rights Protests on Political Attitudes,American Journal of Political Science,batch0014/a001148/a001148_article.pdf
batch0014,2020-04-03,a001257,2017,"Zhu, Boliang","MNCs, Rents, and Corruption: Evidence from China",American Journal of Political Science,batch0014/a001257/a001257_article.pdf
batch0014,2020-04-03,a001258,2017,"Greitemeyer, Tobias; Sagioglou, Christina",Increasing wealth inequality may increase interpersonal hostility: The relationship between personal relative deprivation and aggression,The Journal of Social Psychology,batch0014/a001258/a001258_article.pdf
batch0014,2020-04-03,a001264,2019,"Eskreis-Winkler, Lauren; Fishbach, Ayelet",Not Learning From Failure—the Greatest Failure of All,Psychological Science,batch0014/a001264/a001264_article.pdf
batch0014,2020-04-03,a001317,2016,"Rogers, Todd; Milkman, Katherine L.",Reminders Through Association,Psychological Science,batch0014/a001317/a001317_article.pdf
batch0014,2020-04-03,a001425,2019,"Zheng, Anqing; Tucker-Drob, Elliot M.; Briley, Daniel A.","National Gross Domestic Product, Science Interest, and Science Achievement: A Direct Replication and Extension of the Tucker-Drob, Cheung, and Briley (2014) Study",Psychological Science,batch0014/a001425/a001425_article.pdf
batch0014,2020-04-03,a001428,2018,"Akinola, Modupe; Page-Gould, Elizabeth; Mehta, Pranjal H.; Liu, Zaijia",Hormone-Diversity Fit: Collective Testosterone Moderates the Effect of Diversity on Group Performance,Psychological Science,batch0014/a001428/a001428_article.pdf
batch0014,2020-04-03,a001430,2018,"Welsh, David T.; Mai, Ke Michael; Ellis, Aleksander P. J.; Christian, Michael S.",Overcoming the effects of sleep deprivation on unethical behavior: An extension of integrated self-control theory,Journal of Experimental Social Psychology,batch0014/a001430/a001430_article.pdf
batch0014,2020-04-03,a001558,2019,"Huang, Xiaoyi; Kim, Nayoung; Christianson, Kiel",Gesture and Vocabulary Learning in a Second Language,Language Learning,batch0014/a001558/a001558_article.pdf
batch0014,2020-04-03,a001609,2019,"Groenendyk, Eric","Of Two Minds, But One Heart: A Good “Gut” Feeling Moderates the Effect of Ambivalence on Attitude Formation and Turnout",American Journal of Political Science,batch0014/a001609/a001609_article.pdf
batch0014,2020-04-03,a001613,2015,"Farooqui, Ausaf A.; Manly, Tom",Anticipatory Control Through Associative Learning of Subliminal Relations: Invisible May Be Better Than Visible,Psychological Science,batch0014/a001613/a001613_article.pdf
