batch_id,batch_date,study_id,Author,Publication Year,Title,Publication Title,pdf_filename
batch0909,2020-08-08,a000597,"Moqbel, Murad; Bartelt, Valerie",2015,Consumer Acceptance of Personal Cloud: Integrating Trust and Risk with the Technology Acceptance Model,AIS Transactions on Replication Research,Refer to Zotero library for PDF/link
batch0909,2020-08-08,a001259,"Vogel, Erin A.; Rose, Jason P.; Crane, Chantal",2018,â€œTransformation Tuesdayâ€: Temporal context and post valence influence the provision of social support on social media,The Journal of Social Psychology,Refer to Zotero library for PDF/link
batch0909,2020-08-08,a000244,"Doornkamp, Laura; Bekerom, Petra Van den; Groeneveld, Sandra",2019,The individual level effect of symbolic representation: An experimental study on teacher-student gender congruence and studentsâ€™ perceived abilities in math,Journal of Behavioral Public Administration,Refer to Zotero library for PDF/link
batch0909,2020-08-08,a000525,"Cameira, Miguel; Ribeiro, Tiago Azevedo",2014,Reactions to Intragroup Deviance: Does Disidentification Have a Role?,The Journal of Social Psychology,Refer to Zotero library for PDF/link
batch0909,2020-08-08,a000678,"Nagtegaal, Rosanna; Tummers, Lars; Noordegraaf, Mirko; Bekkers, Victor",2019,Nudging healthcare professionals towards evidence-based medicine: A systematic scoping review,Journal of Behavioral Public Administration,Refer to Zotero library for PDF/link
batch0909,2020-08-08,a000082,"IJzerman, Hans; Neyroud, Lison; Courset, RÃ©mi; Schrama, Michel; Post, Jorick; Pronk, Tila M.",2018,Socially thermoregulated thinking: How past experiences matter in thinking about our loved ones,Journal of Experimental Social Psychology,Refer to Zotero library for PDF/link
batch0909,2020-08-08,a000719,"Mischkowski, Dorothee; Thielmann, Isabel; GlÃ¶ckner, Andreas",2019,Minimizing inequality versus maximizing joint gains: On the relation between personality traits and different prosocial motivations,Journal of Research in Personality,Refer to Zotero library for PDF/link
batch0909,2020-08-08,a000750,"Eyal, Tal; Liberman, Nira; Trope, Yaacov",2014,Thinking of why a transgression occurred may drawn attention to extenuating circumstances: A comment on Å½eÅ¾elj & JokiÄ‡ replication.,Social Psychology,Refer to Zotero library for PDF/link
batch0909,2020-08-08,a000983,"Eastwick, Paul W.; Smith, Leigh K.; Ledgerwood, Alison",2019,How do people translate their experiences into abstract attribute preferences?,Journal of Experimental Social Psychology,Refer to Zotero library for PDF/link
batch0909,2020-08-08,a001039,"James, Oliver; Ryzin, Gregg G. Van",2019,Rates and the judgment of government performance,Journal of Behavioral Public Administration,Refer to Zotero library for PDF/link
batch0909,2020-08-08,a001093,"Bocincova, Andrea; Johnson, Jeffrey S.",2019,The time course of encoding and maintenance of task-relevant versus irrelevant object features in working memory,Cortex,Refer to Zotero library for PDF/link
batch0909,2020-08-08,a001417,"Heintzelman, Samantha J.; Diener, Ed",2019,"Subjective well-being, social interpretation, and relationship thriving",Journal of Research in Personality,Refer to Zotero library for PDF/link
batch0909,2020-08-08,a001485,"Brown-Iannuzzi, Jazmin L.; Cooley, Erin; McKee, Stephanie E.; Hyden, Charly",2019,Wealthy Whites and poor Blacks: Implicit associations between racial groups and wealth predict explicit opposition toward helping the poor,Journal of Experimental Social Psychology,Refer to Zotero library for PDF/link
batch0909,2020-08-08,a000996,"Seghezzi, Silvia; Giannini, Gianluigi; Zapparoli, Laura",2019,Neurofunctional correlates of body-ownership and sense of agency: A meta-analytical account of self-consciousness,Cortex,Refer to Zotero library for PDF/link
