batch_id,batch_date,study_id,Publication Year,Author,Title,Publication Title,pdf_filename
batch0013,2020-04-03,a000045,2019,"de Carvalho, Alex; He, Angela Xiaoxue; Lidz, Jeffrey; Christophe, Anne",Prosody and Function Words Cue the Acquisition of Word Meanings in 18-Month-Old Infants,Psychological Science,batch0013/a000045/a000045_article.pdf
batch0013,2020-04-03,a000050,2016,"Oceja, Luis; Villegas, Marisol; Beramendi, Maite; Salgado, Sergio",“You should (not) do that”: An Evaluative Model of Normative Appeals (EMNA),The Journal of Social Psychology,batch0013/a000050/a000050_article.pdf
batch0013,2020-04-03,a000074,2016,"Pinsof, David; Haselton, Martie",The Political Divide Over Same-Sex Marriage: Mating Strategies in Conflict?,Psychological Science,batch0013/a000074/a000074_article.pdf
batch0013,2020-04-03,a000077,2018,"Redford, Liz; Ratliff, Kate A.",Empathy and humanitarianism predict preferential moral responsiveness to in-groups and out-groups,The Journal of Social Psychology,batch0013/a000077/a000077_article.pdf
batch0013,2020-04-03,a000083,2019,"Trecca, Fabio; McCauley, Stewart M.; Andersen, Sofie Riis; Bleses, Dorthe; Basbøll, Hans; Højen, Anders; Madsen, Thomas O.; Ribu, Ingeborg Sophie Bjønness; Christiansen, Morten H.","Segmentation of Highly Vocalic Speech Via Statistical Learning: Initial Results From Danish, Norwegian, and English",Language Learning,batch0013/a000083/a000083_article.pdf
batch0013,2020-04-03,a000145,2019,"Middleton, Erica L.; Rawson, Katherine A.; Verkuilen, Jay",Retrieval practice and spacing effects in multi-session treatment of naming impairment in aphasia,Cortex,batch0013/a000145/a000145_article.pdf
batch0013,2020-04-03,a000176,2016,"Leitner, Jordan B.; Hehman, Eric; Ayduk, Ozlem; Mendoza-Denton, Rodolfo",Blacks’ Death Rate Due to Circulatory Diseases Is Positively Related to Whites’ Explicit Racial Bias: A Nationwide Investigation Using Project Implicit,Psychological Science,batch0013/a000176/a000176_article.pdf
batch0013,2020-04-03,a000214,2019,"Marchlewska, Marta; Cichocka, Aleksandra; Łozowski, Filip; Górska, Paulina; Winiewski, Mikołaj",In search of an imaginary enemy: Catholic collective narcissism and the endorsement of gender conspiracy beliefs,The Journal of Social Psychology,batch0013/a000214/a000214_article.pdf
batch0013,2020-04-03,a000323,2019,"Chen, Siyi; Nie, Qi-Yang; Müller, Hermann J; Conci, Markus",Kanizsa-figure object completion gates selection in the attentional blink,Quarterly Journal of Experimental Psychology,batch0013/a000323/a000323_article.pdf
batch0013,2020-04-03,a000371,2018,"Kogelmann, Brian; Ogden, Benjamin G.",Enough and as Good: A Formal Model of Lockean First Appropriation,American Journal of Political Science,batch0013/a000371/a000371_article.pdf
batch0013,2020-04-03,a000376,2017,Kornadt Anna E.; Hagemeyer Birk; Neyer Franz J.; Kandler Christian; Back Mitja,"Sound Body, Sound Mind? The Interrelation Between Health Change and Personality Change in Old Age",European Journal of Personality,batch0013/a000376/a000376_article.pdf
batch0013,2020-04-03,a000448,2019,"Yousuf, Mushfa; Heldmann, Marcus; Münte, Thomas F.; Doñamayor, Nuria",Electrophysiology of goal-directed versus habitual control during outcome devaluation,Cortex,batch0013/a000448/a000448_article.pdf
batch0013,2020-04-03,a000530,2018,"Yin, Jun; Xu, Haokui; Duan, Jipeng; Shen, Mowei",Object-Based Attention on Social Units: Visual Selection of Hands Performing a Social Interaction,Psychological Science,batch0013/a000530/a000530_article.pdf
batch0013,2020-04-03,a000563,2019,"Kroeper, Kathryn M.; Muenks, Katherine; Murphy, Mary C.",Marriage Equality: On the Books and on the Ground? An Experimental Audit Study of Beliefs and Behavior towards Same-Sex and Interracial Couples in the Wedding Industry,Analyses of Social Issues and Public Policy,batch0013/a000563/a000563_article.pdf
batch0013,2020-04-03,a000595,2018,"Liu, Hong-Zhi; Li, Shu; Rao, Li-Lin","Out of debt, out of burden: The physical burdens of debt",Journal of Experimental Social Psychology,batch0013/a000595/a000595_article.pdf
batch0013,2020-04-03,a000653,2019,"Deri, Sebastian; Stein, Daniel H.; Bohns, Vanessa K.",With a little help from my friends (and strangers): Closeness as a moderator of the underestimation-of-compliance effect,Journal of Experimental Social Psychology,batch0013/a000653/a000653_article.pdf
batch0013,2020-04-03,a000703,2019,"Sourav, Suddha; Kekunnaya, Ramesh; Shareef, Idris; Banerjee, Seema; Bottari, Davide; Röder, Brigitte",A Protracted Sensitive Period Regulates the Development of Cross-Modal Sound–Shape Associations in Humans,Psychological Science,batch0013/a000703/a000703_article.pdf
batch0013,2020-04-03,a000706,2019,"Witkower, Zachary; Tracy, Jessica L.",A Facial-Action Imposter: How Head Tilt Influences Perceptions of Dominance From a Neutral Face,Psychological Science,batch0013/a000706/a000706_article.pdf
batch0013,2020-04-03,a000761,2019,"Ceccarini, Francesco; Guerra, Silvia; Betti, Sonia; Vergazzini, Alice; Sartori, Luisa; Castiello, Umberto",Changes in corticospinal excitability associated with post-error slowing,Cortex,batch0013/a000761/a000761_article.pdf
batch0013,2020-04-03,a000817,2015,"Jara-Ettinger, Julian; Tenenbaum, Joshua B.; Schulz, Laura E.",Not So Innocent: Toddlers’ Inferences About Costs and Culpability,Psychological Science,batch0013/a000817/a000817_article.pdf
batch0013,2020-04-03,a000893,2017,Boele Savannah; Sijtsema Jelle J.; Klimstra Theo A.; Denissen Jaap J.A.; Meeus Wim H.J.; Jokela Markus,Person–Group Dissimilarity in Personality and Peer Victimization,European Journal of Personality,batch0013/a000893/a000893_article.pdf
batch0013,2020-04-03,a000997,2017,"O’Brien, Ed; Roney, Ellen",Worth the Wait? Leisure Can Be Just as Enjoyable With Work Left Undone,Psychological Science,batch0013/a000997/a000997_article.pdf
batch0013,2020-04-03,a001036,2019,"Rottman, Joshua; Young, Liane",Specks of Dirt and Tons of Pain: Dosage Distinguishes Impurity From Harm,Psychological Science,batch0013/a001036/a001036_article.pdf
batch0013,2020-04-03,a001044,2019,"Manca, Anna Dora; Di Russo, Francesco; Sigona, Francesco; Grimaldi, Mirko",Electrophysiological evidence of phonemotopic representations of vowels in the primary and secondary auditory cortex,Cortex,batch0013/a001044/a001044_article.pdf
batch0013,2020-04-03,a001048,2017,"Bannard, Colin; Rosner, Marla; Matthews, Danielle",What’s Worth Talking About? Information Theory Reveals How Children Balance Informativeness and Ease of Production,Psychological Science,batch0013/a001048/a001048_article.pdf
