demo01,,,,,steve,2020-04-02,yes,,yes,,yes,,1,1,http://tiny.cc/l4wacz,yes,,https://osf.io/g3h52/?view_only=None,yes,,OSF,yes,,yes,,"There was link to ""supplementary data"" at the journal's website - this link was ignored, as there was an explicit link to the open data"
demo02,,,,,steve,2020-04-02,yes,,yes,,yes,,1,1,osf.io/uh3in,yes,,https://osf.io/uh3in/,yes,,OSF,yes,,yes,,I didn't have any problems with this article
intro01,,,,,Evelyn,2020-04-02,yes,,yes,,yes,,1,1,https://osf.io/n6pfz/,yes,,https://osf.io/n6pfz/,yes,,OSF,yes,,yes,,I didn't have any problems with this article
intro02,,,,,Evelyn,2020-04-03,yes,,yes,,yes,,1,1,https://nyu.databrary.org/volume/79,yes,,https://nyu.databrary.org/volume/79,yes,,Databrary,yes,,no,,"Total file size was 1GB, when attempted to download the error ""something went wrong"" appeared"
intro03,,,,,Evelyn,2020-04-03,yes,,yes,,yes,,1,1,https://osf.io/9w8pg/,yes,,https://osf.io/9w8pg/,yes,,OSF,yes,,yes,,Due to the large file size (4.7MB) it took a few minutes to download
intro04,,,,,Evelyn,2020-04-03,yes,,yes,,yes,,1,1,http://dx.doi.org/10.5061/dryad.d2441,yes,,https://datadryad.org/stash/dataset/doi:10.5061/dryad.d2441,yes,,Dryad,yes,,yes,,I didn't have any problems with this article
intro05,,,,,Evelyn,2020-04-03,yes,,yes,,yes,,1,1,http://thedata.harvard.edu/dvn/dv/PainData,yes,,https://dataverse.harvard.edu/dataverse/PainData,yes,,Harvard Dataverse,yes,,yes,,I didn't have any problems with this article
intro06,,,,,Evelyn,2020-04-03,yes,,yes,,yes,,1,1,https://osf.io/zw6jg/,yes,,https://osf.io/zw6jg/,yes,,OSF,yes,,yes,,I didn't have any problems with this article
intro07,,,,,Evelyn,2020-04-03,yes,,yes,,yes,,1,1,https://osf.io/8jxsr/,yes,,https://osf.io/8jxsr/,yes,,OSF,yes,,yes,,"Due to large file size, took roughly 20-30 minutes to download"
intro08,,,,,Evelyn,2020-04-03,yes,,yes,,yes,,2,1,http://doi.org/10.3886/ICPSR04652.v6,yes,,https://www.icpsr.umich.edu/icpsrweb/NACDA/studies/4652/version/6,yes,,Interuniversity Consortium for Political and Social Research ,other,"The following message appears: ""These data have been updated since their release as https://doi.org/10.3886/ICPSR04652.v6, which you used to locate the data. If you need access to a previous version of the data (e.g., to replicate results in an article or report), you can contact ICPSR User Support to find out if a prior version is available.""",other,"The following message appears: ""These data have been updated since their release as https://doi.org/10.3886/ICPSR04652.v6, which you used to locate the data. If you need access to a previous version of the data (e.g., to replicate results in an article or report), you can contact ICPSR User Support to find out if a prior version is available.""","The following message appears: ""These data have been updated since their release as https://doi.org/10.3886/ICPSR04652.v6, which you used to locate the data. If you need access to a previous version of the data (e.g., to replicate results in an article or report), you can contact ICPSR User Support to find out if a prior version is available."""
intro08,,,,,Evelyn,2020-04-03,yes,,yes,,yes,,2,2,http://midus.colectica.org/,other,requires a login to access data/materials,https://midus.colectica.org/Account/Login,yes,,Midus,other,requires login to access files,other,requires login to access files,Login required to access and download files
intro09,,,,,Evelyn,2020-04-03,yes,,yes,,yes,,1,1,https://osf.io/xehfu/,yes,,https://osf.io/xehfu/,yes,,OSF,yes,,yes,,I didn't have any problems with this article
intro10,,,,,Evelyn,2020-04-03,yes,,yes,,yes,,1,1,http://pisa2006.acer.edu.au/downloads.php,no,"Upon opening link, the following error message occurs: ""Site can't be reached/IP address unable to be found""",,,,,,,,,"Upon opening link, the following error message occurs: ""Site can't be reached/IP address unable to be found"""
a000039,,,,,Evelyn,2020-04-04,yes,,yes,,yes,,1,1,https://doi.org/10.7910/DVN/7EWDRF,yes,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/7EWDRF,yes,,Harvard Dataverse,yes,,other,,The total data file size was greater than 100MB 
